# Event_Lat  Event_Lon  Depth_km  OriginTime  ArrivalTime  Method
38.184  -117.864  11.60  2025-07-01T23:36:54.121000  2025-07-01T23:39:20.569538  hilbert
62.465  -148.420  39.10  2025-07-01T20:04:27.829000  2025-07-01T20:11:52.944538  hilbert
62.464  -148.250  43.60  2025-07-01T20:04:14.742000  2025-07-01T20:11:31.444538  hilbert
37.061  -121.489  3.52  2025-07-01T20:47:45.820000  2025-07-01T20:50:49.844538  hilbert
18.019  -66.883  11.58  2025-07-01T21:11:55.440000  2025-07-01T21:19:32.469538  hilbert
31.645  -104.479  8.92  2025-07-01T22:48:52.190000  2025-07-01T22:49:56.919538  hilbert
30.558  -98.239  2.47  2025-07-01T20:17:57.326000  2025-07-01T20:20:03.069538  hilbert
47.558  -122.910  17.47  2025-07-01T22:39:22.430000  2025-07-01T22:43:32.194538  hilbert
41.904  -119.611  7.50  2025-07-01T17:38:13.971000  2025-07-01T17:41:21.844538  hilbert
60.019  -153.249  129.80  2025-07-01T17:36:43.207000  2025-07-01T17:44:12.144538  hilbert
41.915  -119.620  8.90  2025-07-01T17:34:24.536000  2025-07-01T17:37:30.469538  hilbert
57.136  -156.508  4.60  2025-07-01T17:12:41.167000  2025-07-01T17:20:23.819538  hilbert
32.401  -102.072  6.91  2025-07-01T19:07:19.203000  2025-07-01T19:08:35.494538  hilbert
41.927  -119.680  9.80  2025-07-01T17:13:39.227000  2025-07-01T17:16:49.569538  hilbert
37.278  -121.644  8.66  2025-07-01T17:12:14.970000  2025-07-01T17:15:22.069538  hilbert
40.434  -126.092  10.00  2025-07-01T16:47:23.099000  2025-07-01T16:51:19.444538  hilbert
19.601  -65.640  44.00  2025-07-01T16:40:42.090000  2025-07-01T16:48:17.094538  hilbert
36.701  -116.290  10.00  2025-07-01T14:15:33.260000  2025-07-01T14:17:38.144538  hilbert
17.963  -67.009  10.93  2025-07-01T14:10:36.830000  2025-07-01T14:18:08.769538  hilbert
44.330  -114.995  6.04  2025-07-01T11:18:00.810000  2025-07-01T11:20:53.194538  hilbert
14.800  -92.313  68.95  2025-07-01T12:58:54.039000  2025-07-01T13:04:14.294538  hilbert
61.707  -151.379  70.90  2025-07-01T09:32:21.894000  2025-07-01T09:39:54.419538  hilbert
12.430  -89.376  10.00  2025-07-01T04:47:27.403000  2025-07-01T04:53:25.019538  hilbert
32.065  -103.727  7.93  2025-07-01T10:20:46.982000  2025-07-01T10:21:53.519538  hilbert
35.170  -85.371  16.32  2025-07-01T09:09:38.130000  2025-07-01T09:13:45.469538  hilbert
18.863  -66.857  28.91  2025-07-01T08:12:53.890000  2025-07-01T08:20:18.169538  hilbert
17.865  -66.841  12.94  2025-07-01T06:52:15.950000  2025-07-01T06:59:47.219538  hilbert
37.401  -118.572  11.17  2025-07-01T06:48:34.800000  2025-07-01T06:51:05.044538  hilbert
37.703  -121.996  10.58  2025-07-01T05:55:40.280000  2025-07-01T05:58:57.244538  hilbert
40.301  -124.659  16.78  2025-07-01T07:12:44.970000  2025-07-01T07:16:25.669538  hilbert
60.087  -129.952  3.70  2025-07-01T04:32:35.071000  2025-07-01T04:38:48.919538  hilbert
57.381  -154.792  51.40  2025-07-01T04:09:57.031000  2025-07-01T04:17:28.069538  hilbert
34.330  -116.820  7.12  2025-07-01T03:32:42.640000  2025-07-01T03:35:01.319538  hilbert
36.016  -120.050  5.49  2025-07-01T02:55:19.170000  2025-07-01T02:58:04.394538  hilbert
60.067  -141.751  5.30  2025-07-01T02:52:00.216000  2025-07-01T02:58:56.594538  hilbert
36.699  -116.289  9.70  2025-07-01T02:33:59.647000  2025-07-01T02:36:04.544538  hilbert
31.590  -115.972  12.28  2025-07-01T02:20:51.690000  2025-07-01T02:23:10.519538  hilbert
60.550  -147.195  4.70  2025-07-01T02:15:22.025000  2025-07-01T02:22:37.369538  hilbert
37.042  -121.132  4.28  2025-07-01T01:37:55.010000  2025-07-01T01:40:55.819538  hilbert
36.699  -116.288  9.50  2025-07-01T01:40:21.950000  2025-07-01T01:42:30.819538  hilbert
62.388  -148.175  34.40  2025-07-01T00:28:32.292000  2025-07-01T00:35:49.369538  hilbert
31.677  -104.360  6.10  2025-07-01T00:40:26.675000  2025-07-01T00:41:33.569538  hilbert
